term_id,term,term_url,ar,de,en,es,fi,fr,it,ja,ko,mn,no,pl,pt,sr,sv,zh
601-01-01,electric power system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=601-01-01,نظام كهربائيالمنظومة الكهربائية,"Elektrizitätsversorgungssystem, n",electric power systemelectricity supply system (in a broad sense),red (sistema) de energía eléctrica (en sentido amplio),sähkövoimajärjestelmä,réseau d'énergie électrique (sens large) m,rete elettrica (in senso lato),電力システム,전력시스템,цахилгаан эрчим хүчний систем,elkraftsystem,system elektroenergetyczny,sistema de energia eléctricarede de energia eléctrica (em sentido lato),"електроенергетски систем, м јдсистем електричног напајања, м јд",elkraftsystem,电力系统
601-01-02,electric power network,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=601-01-02,نظام القدرة الكهربائية,"Elektrizitätsversorgungsnetz, n",electric power network,red (sistema) de energía eléctrica (en sentido restringido),sähköverkkosähköverkosto,réseau d'énergie électrique (sens restreint) m,rete elettrica (in senso stretto),電力系統,전력 회로망전력 시스템,цахилгаан эрчим хүчний сүлжээ,elnett,sieć elektroenergetyczna,rede de energia eléctrica (em sentido restrito),"електроенергетски систем, м јделектроенергетска мрежа, ж јд",elnät,电力网
601-01-03,alternating current system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=601-01-03,نظام التيار المتناوب (المتردد),"Wechselstromnetz, n",alternating current systemAC system,red de corriente alterna,vaihtosähköverkko,"réseau à tension alternative, m",rete a corrente alternata,交流方式交流系統,교류 계통,хувьсах гүйдлийн систем,vekselstraumsnett,sieć prądu przemiennego,rede de tensão alternarede de tensão alternadarede de corrente alterna (desaconselhado),"мрежа наизменичне струје, ж јд",växelströmsnät,交流系统
601-01-04,direct current system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=601-01-04,نظام التيار المستمر,"Gleichstromnetz, n",direct current systemDC system,red de corriente continua,tasasähköverkko,"réseau à tension continue, m",rete a corrente continua,直流方式直流系統,직류 계통,тогтмол гүйдлийн систем,likestraumsnett,sieć prądu stałego,rede de tensão contínuarede de corrente contínua (desaconselhado),"мрежа једносмерне струје, ж јд",likströmsnät,直流系统
601-01-05,power frequency,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=601-01-05,التردد,"Netzfrequenz, f",power frequency,frecuencia industrial,verkkotaajuus,"fréquence industrielle, f",frequenza industriale,電源周波数商用周波数,상용 주파수,эрчим хүчний давтамж,elkraftfrekvens,częstotliwość sieciowa,frequência industrial,"фреквенција мреже, ж јд",kraftfrekvens,工频
601-01-06,generation of electricity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=601-01-06,انتاج الطاقة الكهربائيةتوليد الطاقة الكهربائية,"Erzeugung elektrischer Energie, f",generation of electricity,producción de energía eléctrica,sähkön tuottaminen,"production d'énergie électrique, fproduction d'électricité, f",produzione d’energia elettrica,発電,발전,цахилгааны үйлдвэрлэл,elproduksjon,wytwarzanie energii elektrycznej,produção de energia eléctricaprodução de electricidade,"производња електричне енергије, ж јд",produktion av elenergielproduktion,发电
601-01-07,conversion of electricity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=601-01-07,تحويل الكهرباء,"Umformung elektrischer Energie, f",conversion of electricity,conversión de energía eléctrica,muuttaminensähkön muuttaminen,"conversion d'énergie électrique, f",conversione d’energia elettrica,変電,전기 변환,цахилгааныг хувиргах,omforming av elkraft,przekształcanie energii elektrycznej,conversão de energia eléctrica,"претварање електричне енергије, с јд",omformning (av elkraft),变流
601-01-08,transformation of electricity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=601-01-08,تحويل الكهرباء,"Transformierung elektrischer Energie, f",transformation of electricity,transformación de energía eléctrica,muuntaminensähkön muuntaminen,"transformation d'énergie électrique, f",trasformazione d’energia elettrica,変電,변전,цахилгааныг трансформацлах,transformering av elkraft,transformacja energii elektrycznej,transformação de energia eléctrica,"трансформација електричне енергије, ж јд",transformering (av elkraft),变电
601-01-09,transmission of electricity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=601-01-09,نقل الكهرباء,"Übertragung elektrischer Energie, f",transmission of electricity,transporte de energía eléctrica,sähkön siirto,"transport d'énergie électrique, m",trasmissione d’energia elettrica,送電,송전,цахилгаан дамжуулах,overføring av elkraft,"przesyłanie energii elektrycznej , nprzesył energii elektrycznej, m",transporte de energia eléctrica,"пренос електричне енергије, м јд",överföring (av elkraft),输电
601-01-10,distribution of electricity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=601-01-10,توزيع الكهرباء,"Verteilung elektrischer Energie, f",distribution of electricity,distribución de energía eléctrica,sähkön jakelu,"distribution d'énergie électrique, f",distribuzione d’energia elettrica,配電,배전,цахилгаан түгээх,distribusjon av elkraft,"dystrybucja energii elektrycznej, frozdział energii elektrycznej, m",distribuição de energia eléctrica,"дистрибуција електричне енергије, ж јд",distribution (av elkraft)eldistribution,配电
